productcode,productlink,sensordet,operatetemp,isp,sortmp,fpsdet,listid,productfilter,sensorformat,webstorelink,chromedet,sortfps,connectordet,resolutiondet
RouteCAM_CU25_IP67 <img src=/images/new.gif />,/gige-cameras/ar0234-global-shutter-full-hd-gige-camera.asp,AR0234CS,-30°C to 70°C,Yes,2,60FPS,1,,1/2.6,/webstore.asp#RouteCAM_CU25_IP67,Color,60,GigE,Full HD
e-CAM56_CUOAGX &nbsp;&nbsp;(AGX Orin),/nvidia-cameras/jetson-agx-orin-cameras/5mp-imx568-global-shutter-mipi-camera.asp,IMX568,-30°C to 70°C,No,5,79FPS,2,platform,1/1.8,/webstore.asp#e-CAM56_CUOAGX,Color,79,MIPI CSI-2,5.0 MP
RouteCAM_CU22_IP67,/gige-cameras/sony-starvis-imx662-2mp-ip67-camera.asp,IMX662,-30°C to 70°C,Yes,2,60FPS,3,,1/2.8,/webstore.asp#RouteCAM_CU22_IP67,Color,60,GigE,2.1 MP
e-CAM200_CUOAGX &nbsp;&nbsp;(AGX Orin),/nvidia-cameras/jetson-agx-orin-cameras/20mp-ar2020-high-resolution-mipi-camera.asp,AR2020,-30°C to 70°C,No,20,30FPS,4,all nvidia-camera platform,1/1.8,/webstore.asp#e-CAM200_CUOAGX,Color & NIR,29,MIPI CSI-2,20.0 MP
e-CAM200_CUMI2020C_MOD,/camera-modules/20mp-ar2020-high-resolution-camera-module.asp,AR2020,-30°C to 70°C,No,20,30FPS,5,all camera-modules camera-modules2 high-resolution,1/1.8,/webstore.asp#e-CAM200_CUOAGX,Color & NIR,30,MIPI CSI-2,20.0 MP
STURDeCAM31_CUOAGX (AGX Orin/AGX Xavier),/nvidia-cameras/jetson-agx-orin-cameras/sony-isx031-ip69k-hdr-gmsl2-camera.asp,ISX031,-40°C to 85°C,Yes,3,60FPS,6,all nvidia-camera platform,1/2.42,/webstore.asp#STURDeCAM31_CUOAGX,Color,60,GMSL2,3.0 MP
STURDeCAM84 (GMSL2),/automotive-cameras/4k-ar0823at-ip69k-gmsl2-150db-hdr-camera.asp,AR0823AT,-40°C to 80°C,no,8,30FPS,7,,1/1.8,/webstore.asp#STURDeCAM84,Color,30,GMSL2,8.3 MP
STURDeCAM31 (GMSL2),/camera-modules/sony-isx031-ip69k-gmsl2-hdr-camera.asp,ISX031,-40°C to 85°C,Yes,3,60FPS,8,all gmsl-cameras hdr,1/2.42,/webstore.asp#STURDeCAM31,Color,60,GMSL2,3.0 MP
SMARTOdin22_PoE_IP67,/ai-smart-cameras/fhd-sony-starvis-imx662-smart-ai-camera.asp,IMX662,-30°C to 70°C,Yes,2,60FPS,9,,1/2.8,/webstore.asp#SMARTOdin22_PoE_IP67,Color,60,GigE,Full HD
RouteCAM_CU20,/gige-cameras/sony-starvis-imx462-full-hd-camera.asp,IMX462,0°C to 50°C,Yes,2,60FPS,10,,1/2.8,/webstore.asp#RouteCAM_CU20,Color & NIR,60,GigE,2.0 MP
See3CAM_CU200,/usb-cameras/ar2020-20mp-high-resolution-camera.asp,AR2020,-,Yes,16,90FPS,11,all usb-cameras usb-3-camera usb-cameras2,1/1.8,/webstore.asp#See3CAM_CU200,Color & NIR,30,USB 3.0,20.0 MP
See3CAM_160,/usb-cameras/16mp-sony-imx298-autofocus-usb-camera.asp,IMX298,-20°C to 60°C,Yes,16,30FPS,12,all usb-cameras usb-3-camera,1/2.8,/order-now/see3cam_160.asp#16mpimx298camera,Color,30,USB 3.0,16.0 MP
See3CAM_130,/13mp-autofocus-usb-camera.asp,AR1335,-30°C to 70°C,Yes,13,120FPS,13,all usb-cameras usb-3-cameras usb-cameras2,1/3.2,/order-now/see3cam_130.asp#13MP_AF_camera,Color,120,USB 3.0,13.0 MP
See3CAM_CU135,/4k-usb-camera.asp,AR1335,-30°C to 70°C,Yes,13,120FPS,14,all usb-cameras2,1/3.2,/order-now/see3cam_cu135.asp#CU135USB,Color,120,USB 3.0,13.0 MP
See3CAM_CU135M,/usb-cameras/ar1335-4k-monochrome-camera.asp,AR1335M,-30°C to 70°C,No,13,60FPS,15,all usb-cameras usb-3-camera,1/3.2,/order-now/see3cam-cu135m.asp#CU135MHUSB,Mono & NIR,60,USB 3.0,13.0 MP
See3CAM_CU84,/usb-cameras/4k-onsemi-ar0830-usb3-camera.asp,AR0830,-30°C to 70°C,Yes,8,60FPS,16,,1/2.9,/webstore.asp,Color,60,USB 3.0,8.0 MP
See3CAM_CU83,/usb-cameras/8mp-4k-rgb-ir-usb3-camera.asp,AR0830,-30°C to 85°C,Yes,8,60FPS,17,,1/2.9,/webstore.asp,Color & NIR,60,USB 3.0,8.0 MP
See3CAM_CU81,/usb-cameras/ar0821-8mp-4k-hdr-camera.asp,AR0821,-30°C to 70°C,Yes,8,60FPS,18,all usb-cameras usb-3-camera usb-cameras2,1/1.7,/order-now/see3cam-cu81.asp#CU81USB,Color,60,USB 3.0,8.0 MP
See3CAM_CU55M,/ar0521-monochrome-usb-nir-camera.asp,AR0521,-30°C to 70°C,No,5,112FPS,19,all usb-cameras usb-3-cameras usb-cameras2,1/2.5,/order-now/see3cam_cu55m.asp#CU55MHUSB,Mono & NIR,112,USB 3.0,5.0 MP
See3CAM_CU512M,/usb-cameras/5mp-ar0522-monochrome-nir-camera.asp,AR0522,-30°C to 70°C,No,5,60FPS,20,all usb-cameras usb-3-cameras,1/2.5,/order-now/see3cam_cu512m.asp#See3CAM_CU512M,Mono & NIR,60,USB 3.0,5.0 MP
See3CAM_CU55,/5mp-low-noise-usb-camera.asp,AR0521,-30°C to 70°C,Yes,5,60FPS,21,all usb-cameras2,1/2.5,/order-now/see3cam_cu55.asp#CU55USB,Color,60,USB 3.0,5.0 MP
See3CAM_50CUGM,/usb-cameras/5mp-sony-pregius-imx264-global-shutter-monochrome-camera.asp,IMX264,-10°C to 50°C,Yes,5,145FPS,22,all usb-cameras usb-3-camera global-shutter,2/3,/order-now/see3cam_50cugm.asp#See3CAM_50CUGM,Mono,145,USB 3.0,5.0 MP
