productcode,productlink,sensordet,operatetemp,isp,filtervalue,sortmp,fpsdet,listid,productfilter,sensorformat,webstorelink,productdesc,chromedet,sortfps,connectordet,resolutiondet
RouteCAM_CU25_IP67 <img src=/images/new.gif />,/gige-cameras/ar0234-global-shutter-full-hd-gige-camera.asp,AR0234CS,-30°C to 70°C,Yes,2mp gige color fixed Global onsemi low-light full-hd  2-1ps 60fps with-enclosure 1-2 yes,2,60FPS,1,,1/2.6,/webstore.asp#RouteCAM_CU25_IP67,,Color,60,GigE,Full HD
e-CAM56_CUOAGX &nbsp;&nbsp;(AGX Orin),/nvidia-cameras/jetson-agx-orin-cameras/5mp-imx568-global-shutter-mipi-camera.asp,IMX568,-30°C to 70°C,No,300-2000 color colornir low-light fixed raw-bayer 5mp mipi Global orin sonyPregiusS 60fps without-enclosure no camera-modules,5,79FPS,2,platform,1/1.8,/webstore.asp#e-CAM56_CUOAGX,,Color,79,MIPI CSI-2,5.0 MP
RouteCAM_CU22_IP67,/gige-cameras/sony-starvis-imx662-2mp-ip67-camera.asp,IMX662,-30°C to 70°C,Yes,2mp gige color x86 qualcomm orin tx2-nx nx xavier nono tx2-tx1 raspberry-Pi coral imx8 rockchip fixed rolling low-light full-hd  2-1ps 60fps with-enclosure 1-2 yes sonyStarvisTwo,2,60FPS,3,,1/2.8,/webstore.asp#RouteCAM_CU22_IP67,,Color,60,GigE,2.1 MP
e-CAM200_CUOAGX &nbsp;&nbsp;(AGX Orin),/nvidia-cameras/jetson-agx-orin-cameras/20mp-ar2020-high-resolution-mipi-camera.asp,AR2020,-30°C to 70°C,No,fixed color colornir 20mp mipi rolling grr orin onsemi low-light ir 30fps without-enclosure 2-2ps 1-23 smart_surveillance no,20,30FPS,4,all nvidia-camera platform,1/1.8,/webstore.asp#e-CAM200_CUOAGX,20MP high resolution camera for NVIDIA&reg; Jetson AGX Orin&trade;,Color & NIR,29,MIPI CSI-2,20.0 MP
e-CAM200_CUMI2020C_MOD,/camera-modules/20mp-ar2020-high-resolution-camera-module.asp,AR2020,-30°C to 70°C,No,color colornir 20mp mipi rolling onsemi ir low-light 30fps without-enclosure no camera-modules,20,30FPS,5,all camera-modules camera-modules2 high-resolution,1/1.8,/webstore.asp#e-CAM200_CUOAGX,,Color & NIR,30,MIPI CSI-2,20.0 MP
STURDeCAM31_CUOAGX (AGX Orin/AGX Xavier),/nvidia-cameras/jetson-agx-orin-cameras/sony-isx031-ip69k-hdr-gmsl2-camera.asp,ISX031,-40°C to 85°C,Yes,fixed color 3mp gmsl sonysubpixel rolling xavier orin hdr 60fps with-enclosure yes,3,60FPS,6,all nvidia-camera platform,1/2.42,/webstore.asp#STURDeCAM31_CUOAGX,,Color,60,GMSL2,3.0 MP
STURDeCAM84 (GMSL2),/automotive-cameras/4k-ar0823at-ip69k-gmsl2-150db-hdr-camera.asp,AR0823AT,-40°C to 80°C,no,fixed color 8mp gmsl rolling onsemi hdr 30fps with-enclosure 3ps no,8,30FPS,7,,1/1.8,/webstore.asp#STURDeCAM84,,Color,30,GMSL2,8.3 MP
STURDeCAM31 (GMSL2),/camera-modules/sony-isx031-ip69k-gmsl2-hdr-camera.asp,ISX031,-40°C to 85°C,Yes,fixed color 3mp gmsl rolling sonysubpixel hdr 60fps with-enclosure 3ps yes,3,60FPS,8,all gmsl-cameras hdr,1/2.42,/webstore.asp#STURDeCAM31,,Color,60,GMSL2,3.0 MP
SMARTOdin22_PoE_IP67,/ai-smart-cameras/fhd-sony-starvis-imx662-smart-ai-camera.asp,IMX662,-30°C to 70°C,Yes,2mp color fixed rolling gige smartcam 60fps with-enclosure 1-28 auto_farming smart_traffic sports_broadcasting yes sonyStarvisTwo,2,60FPS,9,,1/2.8,/webstore.asp#SMARTOdin22_PoE_IP67,Cloud-connected Smart AI Camera,Color,60,GigE,Full HD
RouteCAM_CU20,/gige-cameras/sony-starvis-imx462-full-hd-camera.asp,IMX462,0°C to 50°C,Yes,2mp gige color ir x86 qualcomm orin tx2-nx nx xavier nono tx2-tx1 raspberry-Pi coral imx8 rockchip fixed rolling low-light full-hd  2-1ps 60fps with-enclosure 1-2 yes starvis,2,60FPS,10,,1/2.8,/webstore.asp#RouteCAM_CU20,,Color & NIR,60,GigE,2.0 MP
See3CAM_CU200,/usb-cameras/ar2020-20mp-high-resolution-camera.asp,AR2020,-,Yes,fixed color colornir ir 20mp usb3 rolling grr x86 onsemi 60fps without-enclosure 1-12ps 1-18 yes usb-cameras low-light,16,90FPS,11,all usb-cameras usb-3-camera usb-cameras2,1/1.8,/webstore.asp#See3CAM_CU200,,Color & NIR,30,USB 3.0,20.0 MP
See3CAM_160,/usb-cameras/16mp-sony-imx298-autofocus-usb-camera.asp,IMX298,-20°C to 60°C,Yes,auto color 16mp usb3 rolling hd ultra-hd x86 sony 30fps without-enclosure 1-12ps 1-28 industrial_tablets dermatology access_control_and_analytics yes exmor usb-cameras,16,30FPS,12,all usb-cameras usb-3-camera,1/2.8,/order-now/see3cam_160.asp#16mpimx298camera,,Color,30,USB 3.0,16.0 MP
